Capital Amsterdam belongs to Netherlands.,1
Capital Ankara belongs to Turkey.,1
Capital Asuncion belongs to Paraguay.,3
Capital Athens belongs to Greece.,0
Capital Belgrade belongs to Serbia.,0
Capital Belmopan belongs to Belize.,1
Capital Berlin belongs to Germany.,0
Capital Bern belongs to Switzerland.,2
Capital Bogota belongs to Colombia.,1
Capital Brasilia belongs to Brazil.,0
Capital Bratislava belongs to Slovakia.,0
Capital Brussels belongs to Belgium.,2
Capital Bucharest belongs to Romania.,3
Capital Budapest belongs to Hungary.,2
Capital Buenos Aires belongs to Argentina.,1
Capital Caracas belongs to Venezuela.,2
Capital Chisinau belongs to Moldova.,0
Capital Copenhagen belongs to Denmark.,1
Capital Dublin belongs to Ireland.,0
Capital Georgetown belongs to Guyana.,1
Capital Guatemala Capital belongs to Guatemala.,1
Capital Helsinki belongs to Finland.,2
Capital Kyiv belongs to Ukraine.,1
Capital La Paz belongs to Bolivia.,2
Capital Lima belongs to Peru.,3
Capital Lisbon belongs to Portugal.,1
Capital Ljubljana belongs to Slovenia.,4
Capital London belongs to United Kingdom.,1
Capital Luxembourg belongs to Luxembourg.,3
Capital Madrid belongs to Spain.,0
Capital Managua belongs to Nicaragua.,0
Capital Mexico Capital belongs to Mexico.,0
Capital Minsk belongs to Belarus.,3
Capital Monaco belongs to Monaco.,0
Capital Montevideo belongs to Uruguay.,2
Capital Moscow belongs to Russia.,0
Capital Nicosia belongs to Cyprus.,0
Capital Oslo belongs to Norway.,1
Capital Ottawa belongs to Canada.,0
Capital Panama Capital belongs to Panama.,0
Capital Paramaribo belongs to Suriname.,2
Capital Paris belongs to France.,1
Capital Podgorica belongs to Montenegro.,1
Capital Prague belongs to Czech Republic.,3
Capital Pristina belongs to Kosovo.,3
Capital Quito belongs to Ecuador.,0
Capital Reykjavik belongs to Iceland.,0
Capital Riga belongs to Latvia.,1
Capital Rome belongs to Italy.,0
Capital San Jose belongs to Costa Rica.,1
Capital San Salvador belongs to El Salvador.,0
Capital Santiago belongs to Chile.,0
Capital Sarajevo belongs to Bosnia.,2
Capital Skopje belongs to Macedonia.,1
Capital Sofia belongs to Bulgaria.,2
Capital Stockholm belongs to Sweden.,0
Capital Tallinn belongs to Estonia.,2
Capital Tbilisi belongs to Georgia.,2
Capital Tegucigalpa belongs to Honduras.,1
Capital Tirana belongs to Albania.,2
Capital Vaduz belongs to Liechtenstein.,0
Capital Valletta belongs to Malta.,0
Capital Vienna belongs to Austria.,1
Capital Vilnius belongs to Lithuania.,4
Capital Warsaw belongs to Poland.,2
Capital Washington belongs to United States.,1
Capital Yerevan belongs to Armenia.,0
Capital Zagreb belongs to Croatia.,3
